titulo;autor;isbn;paginas;ano;categoria
O Lado Feio do Amor;Colleen Hoover;nan;364;2015;Romance
Me Abrace Mais Forte;David Levithan;9788501106391;296;2015;Ficção Geral
cidade das almas perdidas;Cassandra Clare;9788501403285;429;2015;Ficção Geral
Todo Garoto Tem;Meg Cabot;9788501077141;380;2014;Ficção Geral
Cidade das Cinzas;Cassandra Clare;9788501087157;406;2014;Ficção Geral
O Sacrifício;Rachel Hawkins;9788501097170;304;2014;Ficção Geral
A Princesa no Limite;Meg Cabot;9788501077745;271;2014;Ficção Geral
A Princesa em Treinamento;Meg Cabot;9788501074775;315;2014;Ficção Geral
A Princesa na Balada;Meg Cabot;9788501075345;333;2014;Ficção Geral
Cidade das Almas Perdidas;Cassandra Clare;9788501403285;434;2014;Ficção Geral
Princesa Mia;Meg Cabot;9788501080905;300;2014;Ficção Geral
O Bosque Selvagem; Colin Meloy;9788501097866;480;2014;Ficção Geral
Cidade do Fogo Celestial;Cassandra Clare;9788501092731;532;2014;Ficção Geral
The Walking Dead;Robert Kirkman;9788501100665;265;2014;Ficção Geral
Emily, The Strange: Duas Vezes Estranha;Rob Reger;9788501086785;272;2014;Ficção Geral
Duelo Ao Luar;Andrea Cremer;9788501403216;448;2014;Ficção Geral
Casa de Segredos;Ned Vizzini;9788501400031;352;2014;Suspense/Thriller
Aquilus;Corbeyran;9788501404930;48;2014;Ficção Geral
A Viagem de Íris;Gill Lewis;9788501093318;208;2014;Ficção Geral
Flash Forward;Robert J. Sawyer;9788501089823;384;2014;Ficção Geral
Sempre Teremos o Verão;Jenny Han;9788501094940;320;2014;Ficção Geral
O Códex dos Caçadores de Sombras;Cassandra Clare;9788501403957;274;2014;Ficção Geral
O Livro dos Mil Dias;Shannon Hale;9788501086556;288;2014;Ficção Geral
Desejos;Alexandra Bullen;9788501086938;381;2014;Ficção Geral
The 100: Os Escolhidos;Kass Morgan;9788501400598;288;2014;Ficção Geral
Alvorada dos Aspectos;Richard A. Knaak;9788501402288;336;2014;Ficção Geral
Me Dê Uma Chance;Cecily von Ziegesar;9788501405289;304;2014;Ficção Geral
O Livro dos Vilões;Carina Rissi;9788501042101;320;2014;Ficção Geral
Demônios do Paraíso;William C. Dietz;9788501402332;364;2014;Ficção Geral
Limbo;Anthony Horowitz;9788501402028;560;2014;Ficção Geral
Don Juan;Alessandro Baricco;9788501400048;104;2014;Ficção Geral
A história de O Nariz;Andrea Camilleri;9788501400062;104;2014;Ficção Histórica
Will & Will;John Green;9788501093882;352;2014;Ficção Geral
Cidade de Vidro;Cassandra Clare;9788501087164;474;2014;Ficção Geral
Inferno;Meg Cabot;9788501097552;336;2014;Ficção Geral
Diário de Uma Treinadora de Pais;Jenny Smith;9788501099259;304;2014;Ficção Geral
Santuário;Meg Cabot;9788501088208;256;2014;Ficção Geral
Um Caso Perdido;Colleen Hoover;9788501403940;384;2014;Ficção Geral
Canção da Lua;L. J. Smith;9788501102065;282;2014;Ficção Geral
Tempestade de Luz;Nate Kenyon;9788501402325;335;2014;Ficção Geral
Sonho Perigoso;Margaret Stohl;9788501102454;84;2014;Aventura
Garota em Foco;Cecily von Ziegesar;9788501089205;272;2014;Ficção Geral
Princesa Adormecida;Paula Pimenta;9788501034205;192;2014;Ficção Geral
A Evolução de Mara Dyer;Michelle Hodkin;9788501098597;406;2014;Ficção Geral
O Círculo;Kieran Scott;9788501094704;288;2014;Ficção Geral
Anjos Na Escuridão;Lauren Kate;9788501034519;98;2014;Ficção Geral
Inimigo Sombrio;Cate Tiernan;9788501092670;322;2014;Ficção Geral
O Peculiar;Stefan Bachmann;9788501401854;272;2014;Ficção Geral
Se alguma vez...;Meg Rosoff;9788501087348;256;2014;Ficção Geral
Invisível;David Levithan;9788501403223;322;2014;Ficção Geral
Battlefield 4: Contagem Regressiva;Peter Grimsdale;9788501034762;308;2014;Ficção Geral
Homero;Luiz Antonio Aguiar;9788501102072;248;2014;Ficção Geral
Assassin's Creed: Barba Negra - O Diário Perdido;Christie Golden;9788501092724;148;2014;Ficção Geral
Confesso Que Menti;Justine Larbalestier;9788501089168;320;2014;Ficção Geral
Ai Meus Deuses!;Tera Lynn Childs;9788501094476;304;2014;Ficção Geral
Coroa da Meia-Noite;Sarah J. Maas;9788501401397;406;2014;Ficção Geral
O Que Restou de Mim;Kat Zhang;9788501098368;320;2014;Ficção Geral
Medo;Michael Grant;9788501402271;448;2014;Ficção Geral
O Condado de Citrus;John Brandon;9788501094469;288;2014;Ficção Geral
Inquebrável;Kami Garcia;9788501403131;288;2014;Ficção Geral
Garoto Encontra Garoto;David Levithan;9788501047779;240;2014;Ficção Geral
Essa Garota;Colleen Hoover;9788501047762;336;2014;Ficção Geral
Petra do coração de pedra;Anna Claudia Ramos;9788501102393;144;2014;Romance
Cidade dos Ossos e Cidade das Cinzas;Cassandra Clare;9788501047991;677;2014;Ficção Geral
O Assassino Relutante;Eoin Colfer;9788501047663;352;2014;Ficção Geral
Alma da Fera (Ascendant);Diana Peterfreund;9788501098627;350;2014;Ficção Geral
Onde Deixarei Meu Coração;Sarra Manning;9788501095169;334;2014;Romance
The Walking Dead;Robert Kirkman;9788501052766;308;2014;Ficção Geral
Ser Feliz é Assim;Jennifer E. Smith;9788501047786;400;2014;Ficção Geral
O Livro das Criaturas de Harry Potter;Jody Revenson;9788501052735;208;2014;Ficção Geral
Longe de Você;Emily Hainsworth;9788501096241;288;2014;Ficção Geral
Crimes de Guerra;Christie Golden;9788501052759;336;2014;Suspense/Thriller
Livro de Tyrael;Matt Burns;9788501102119;166;2014;Ficção Geral
Mass Effect: Ascensão;Drew Karpyshyn;9788501404534;308;2014;Ficção Geral
VIII;H. M. Castor;9788501403124;378;2014;Ficção Geral
Prisioneira da Inquisição;Theresa Breslin;9788501093899;306;2014;Ficção Geral
As Crônicas de Bane;Cassandra Clare;9788501403964;388;2014;Ficção Geral
Ícones;Margaret Stohl;9788501062048;384;2014;Ficção Geral
A Mais Bela de Todas;Sarah Mlynowski;9788501401113;176;2014;Ficção Geral
Garotas, Glitter e a Grande Fraude;Meg Cabot;9788501093301;176;2014;Ficção Geral
Sirena;Margaret Stohl;9788501052827;280;2014;Ficção Geral
A Noiva é Tamanho 42;Meg Cabot;9788501089557;399;2014;Ficção Geral
Crepúsculo dos Aspectos;Christie Golden;9788501402301;266;2014;Ficção Geral
A Batalha das Bestas;Ned Vizzini;9788501065315;336;2014;Ficção Geral
Aliens de Férias;Clete Barrett Smith;9788501088253;272;2014;Ficção Científica
O Palhaço Está em Greve;Marco Túlio Costa;9788501102416;98;2014;Ficção Geral
Will & Will;John Green;9788501093882;348;2014;Ficção Geral
Tormenta;Lauren Kate;9788501089632;391;2014;Ficção Geral
Êxtase;Lauren Kate;9788501089656;346;2014;Ficção Geral
Um caso perdido;Collen Hoover;nan;445;2014;Ficção Geral
Feios;Scott Westerfeld;9788501083708;416;2013;Ficção Geral
Tamanho Não Importa;Meg Cabot;9788501082732;334;2013;Ficção Geral
Dezessete Luas;Margaret Stohl;9788501086921;462;2013;Ficção Geral
Extras;Scott Westerfeld;9788501083685;416;2013;Ficção Geral
Príncipe Mecânico;Cassandra Clare;9788501092694;406;2013;Ficção Geral
Sortilégio;Rachel Hawkins;9788501086075;304;2013;Ficção Geral
Glee - Férias de Verão;Galera Record;nan;250;2013;Ficção Geral
Sem Você Não é Verão;Jenny Han;9788501094933;304;2013;Ficção Geral
Princesa Mecânica;Cassandra Clare;9788501092700;434;2013;Ficção Geral
A Vingança Veste Prada;Lauren Weisberger;nan;444;2013;Ficção Geral
Princesa Para Sempre;Meg Cabot;9788501086402;447;2013;Ficção Geral
Dezoito Luas;Kami Garcia;9788501099068;406;2013;Ficção Geral
Cair das Trevas;Cate Tiernan;9788501092663;252;2013;Ficção Geral
A Probabilidade Estatística do Amor à Primeira Vista;Jennifer E. Smith;9788501095442;224;2013;Romance
Na Passarela;Meg Cabot;9788501098955;272;2013;Ficção Geral
Gregor e o Código da Garra;Suzanne Collins;9788501081902;400;2013;Ficção Geral
The Walking Dead;Robert Kirkman;9788501401878;336;2013;Ficção Geral
A Maldição;Rachel Hawkins;9788501097163;320;2013;Ficção Geral
Assassin's Creed: Revelações;Oliver Bowden;9788501400000;392;2013;Ficção Geral
Dezesseis Luas;Kami Garcia;nan;488;2013;Ficção Geral
O Morto;Charlie Higson;9788501089328;432;2013;Ficção Geral
Mentirinhas Inocentes;Lauren Conrad;9788501094087;304;2013;Ficção Geral
Furacão Dourado;Charlie Higson;9788501088420;416;2013;Ficção Geral
Confissões;Kieran Scott;9788501094698;288;2013;Ficção Geral
Eona;Alison Goodman;9788501086723;490;2013;Ficção Geral
O Caminho Para Woodbury;Robert Kirkman;9788501401878;336;2013;Ficção Geral
O Futuro de Nós Dois;Jay Asher;9788501097231;384;2013;Ficção Científica
Ponto Crítico;Christie Golden;9788501402394;294;2013;Ficção Geral
O Livro das Princesas;Paula Pimenta;9788501403254;288;2013;Ficção Geral
Floresta Sombria;Matt Haig;9788501086709;352;2013;Ficção Geral
Hollywood É Como A Escola;Zoey Dean;9788501090201;336;2013;Ficção Geral
Garotos, Garotas e Outros Materiais Explosivos;Rosalind Wiseman;9788501090843;320;2013;Ficção Geral
Dezesseis Luas (Beautiful Creatures);Kami Garcia;9788501086914;490;2013;Ficção Geral
O Poder;L. J. Smith;9788501096289;240;2013;Ficção Geral
Will & Will;John Green;9788501093882;352;2013;Ficção Geral
Garotas, Surpresas e Segredos;Cecily von Ziegesar;9788501089199;252;2013;Suspense/Thriller
A Sociedade Cinderela;Kay Cassidy;9788501093325;312;2013;Ficção Geral
A Tempestade;William Shakespeare;nan;216;2013;Ficção Geral
Dezenove Luas;Kami Garcia;9788501403261;322;2013;Ficção Geral
Abandono;Meg Cabot;9788501095343;304;2013;Ficção Geral
Sociedade Cinderela;Cassidy;9788501093325;308;2013;Ficção Geral
Esconderijo seguro;Meg Cabot;nan;272;2013;Ficção Geral
Se Você Está Lendo Este Livro É Tarde Demais;Pseudonymous Bosch;9788501086051;320;2013;Ficção Geral
Lágrima;Lauren Kate;9788501403971;336;2013;Ficção Geral
Espectro;L. J. Smith;9788501404008;288;2013;Ficção Geral
Como Dizer Adeus em Robô;Natalie Standiford;9788501091024;344;2013;Ficção Científica
A Ruptura;Christie Golden;9788501402295;336;2013;Ficção Geral
Métrica;Colleen Hoover;9788501401861;304;2013;Ficção Geral
Abandonada;Meg Cabot;9788427201873;304;2013;Ficção Geral
Diablo III: Livro de Cain;Flint Dille;9788501402073;148;2013;Ficção Geral
10 Coisas Que Nós Fizemos;Sarah Mlynowski;9788501092748;336;2013;Ficção Geral
Garota, 15 anos, Lindas, Porém Louca;Sue Limb;9788501086655;224;2013;Ficção Geral
Beemote: A Revolução;Scott Westerfeld;9788501097521;432;2013;Ficção Geral
Todo Dia;David Levithan;9788501099518;280;2013;Ficção Geral
Trono de Vidro;Sarah J. Maas;9788501401380;392;2013;Ficção Geral
Caçadora de Unicórnios;Diana Peterfreund;9788501098603;364;2013;Ficção Geral
A Desconstrução de Mara Dyer;Michelle Hodkin;9788501098580;378;2013;Ficção Geral
Esconderijo Perfeito;Meg Cabot;9788501088192;288;2013;Ficção Geral
Poseur - Boazinhas, Glamourosas e Feias;Rachel Maude;9788501088864;304;2013;Ficção Geral
Sombras da Horda;Michael A. Stackpole;9788501402318;294;2013;Ficção Geral
As Irmãs Sloane 2;Anna Carey;9788501086327;288;2013;Ficção Geral
A Misteriosa Sociedade Benedict e A Jornada Periculosa;Trenton Lee Stewart;9788501091383;378;2013;Aventura
Gulliver;Jonathan Coe;9788501400109;96;2013;Ficção Geral
Fator Nerd: Contatos Imediatos do 1º Amor;Andy Robb;9788501401151;303;2013;Romance
Praga;Michael Grant;9788501402264;392;2013;Ficção Geral
Limiar;Jessica Warman;9788501091406;392;2013;Ficção Geral
Guerra Imortal;Justin Somper;9788501097200;448;2013;Ficção Histórica
Revelação;Drew Karpyshyn;9788501404527;294;2013;Aventura
Medo de Palco;Meg Cabot;9788501092403;192;2013;Ficção Geral
O Último Guardião;Eoin Colfer;9788501401144;367;2013;Ficção Geral
Pausa;Colleen Hoover;9788501401892;301;2013;Ficção Geral
Outras Palavras Para O Amor;Lorraine Zago Rosenthal;9788501098351;368;2013;Romance
Polícia Paranormal;Kiersten White;9788501090836;384;2013;Ficção Geral
Rome;David Gibbins;9788501405265;352;2013;Ficção Geral
Espiral da Morte;Derek Landy;9788501404947;448;2013;Ficção Geral
Fallen;Lauren Kate;9788501089625;401;2013;Ficção Geral
Paixão;Lauren Kate;9788501089649;377;2013;Romance
Tamanho 42 e Pronta Para Arrasar;Meg Cabot;9788501402240;399;2013;Ficção Geral
As Regras do Amor;Pamela Wells;9788501088642;336;2013;Romance
Tempo em Fúria;Myra McEntire;9788501096548;322;2013;Ficção Geral
Espiãs Se Arriscam em Dobro;Ally Carter;9788501094438;288;2013;Ficção Geral
99 Séries Clássicas Para Apressadinhos;Thomas Wengelewski;9788501095725;208;2013;Ficção Geral
Strawberry Fields Forever;Richard Zimler;9788501097545;272;2013;Ficção Geral
Assassin's Creed: Bandeira Negra;Oliver Bowden;9788501100962;336;2013;Ficção Geral
Eva;Anna Carey;9788501092755;288;2013;Ficção Geral
Diários de Stefan - Desejo;L. J. Smith;9788501092649;176;2013;Ficção Geral
Êxtase;Lauren Kate;9788501089656;346;2013;Ficção Geral
Apaixonados;Lauren Kate;9788501099204;181;2013;Ficção Geral
Trono de vidro;Sarah J. Maas;nan;392;2013;Ficção Geral
Cidade das Cinzas;Cassandra Clare;nan;406;2013;Ficção Geral
Cidade das Almas Perdidas;Cassandra Clare;nan;434;2013;Ficção Geral
Tamanho 44 Também não é Gorda;Meg Cabot;nan;473;2013;Ficção Geral
Tamanho não Importa;Meg Cabot;nan;352;2013;Ficção Geral
Tamanho 42 e Pronta pra Arrasar;Meg Cabot;nan;439;2013;Ficção Geral
Filhas da Escuridão;L. J. Smith;9788501089137;240;2012;Ficção Geral
Cabeça de Vento;Meg Cabot;9788501083203;320;2012;Ficção Geral
Dias Sombrios;Derek Landy;9788501092809;362;2012;Ficção Geral
A Fúria;L. J. Smith;9788501089366;236;2012;Ficção Geral
Festas & Poções;Sarah Mlynowski;nan;400;2012;Ficção Geral
Meia-Noite;L. J. Smith;9788501091376;400;2012;Ficção Geral
Insaciável;Meg Cabot;9788501091345;504;2012;Ficção Geral
Anjo Mecânico;Cassandra Clare;9788501092687;392;2012;Ficção Geral
Sendo Nikki;Meg Cabot;9788501086679;320;2012;Ficção Geral
O Ramo de Prata;Rosemary Sutcliff;9788501083234;320;2012;Ficção Geral
Irmandade;Oliver Bowden;9788501095749;394;2012;Ficção Geral
Assassin's Creed: A Cruzada Secreta;Oliver Bowden;9788501098344;336;2012;Ficção Geral
O Verão e a Cidade;Candace Bushnell;9788501087188;416;2012;Ficção Geral
A Trilha da Lua Cheia;Tabajara Ruas;9788501092168;256;2012;Ficção Geral
Você Nunca se Satisfaz;Cecily von Ziegesar;9788501086143;256;2012;Ficção Geral
A Prisioneira;L. J. Smith;9788501096272;240;2012;Ficção Geral
Intocáveis;Kieran Scott;9788501094681;288;2012;Ficção Geral
Codinome Cassandra;Meg Cabot;9788501088185;286;2012;Ficção Geral
Alice de novo;Judi Curtin;9788501086280;208;2012;Ficção Geral
The Walking Dead;Robert Kirkman;9788501097156;361;2012;Ficção Geral
Nos Bastidores da TV;Carlos Heitor Cony;9788501077769;190;2012;Ficção Geral
A Última Princesa;Fábio Yabu;9788501094506;128;2012;Ficção Geral
Mordida;Meg Cabot;9788501097415;308;2012;Ficção Geral
Tom Coração Leal e a Terra das Histórias Sombrias;Ian Beck;9788501083661;336;2012;Romance
O fio da palavra;Bartolomeu Campos de Queirós;9788501097576;40;2012;Ficção Geral
Garotas em Festa;Cecily von Ziegesar;9788501089182;272;2012;Ficção Geral
Nas sombras;Jeri Smith-Ready;9788501088215;336;2012;Ficção Geral
Meu livrinho vermelho;Rachel Kauder Nalebuff;9788501089304;256;2012;Ficção Geral
Segredos de amor, namoro e paixão;Pedro Bandeira;nan;144;2012;Romance
Império da Noite;Justin Somper;9788501097194;432;2012;Ficção Geral
SEGREDOS DE AMOR, NAMORO E PAIXÃO (VOL. 3);Leo Cunha;9788501085597;128;2012;Romance
Glee - Câmbio Exterior;Sophia Lowell;9780316123617;230;2012;Ficção Geral
Apaixonados;Lauren Kate;9788501099204;182;2012;Ficção Geral
Gregor e as Marcas Secretas;Suzanne Collins;9788501081896;304;2012;Ficção Geral
Festas & Poções;Sarah Mlynowski;9788501082633;400;2012;Ficção Geral
Nós Somos os Senhores do Clima;Tim Flannery;9788501078544;272;2012;Ficção Geral
O livro perigoso para garotos (de bolso);Conn Iggulden;9788501091048;207;2012;Aventura
Maçãs Envenenadas;Lily Archer;9788501093868;320;2012;Ficção Geral
Minha Vida Agora;Meg Rosoff;9788501087324;176;2012;Ficção Geral
Battlefield 3;Andy McNab;9788501083876;350;2012;Ficção Geral
Lua de Sangue;Andrea Cremer;9788501090485;406;2012;Ficção Geral
Espiãs Também Se Enganam;Ally Carter;9788501094421;288;2012;Ficção Geral
Diários de Stefan - Sede de Sangue;L. J. Smith;9788501092632;176;2012;Ficção Geral
As Nove Vidas de Chloe King: Banidos;Liz Braswell;9788501097880;224;2012;Ficção Geral
Garotos Malditos;Santiago Nazarian;9788501098382;256;2012;Ficção Geral
Um conto de fadas em Manhattan;Elisa Puricelli Guerra;9788501088390;312;2012;Fantasia
Bum!;Mark Haddon;9788501090850;176;2012;Ficção Geral
A roda do vento;Nélida Piñon;9788501092175;96;2012;Ficção Geral
Leviatã: A Missão Secreta;Scott Westerfeld;9788501097583;368;2012;Ficção Geral
Amada Imortal;Cate Tiernan;9788501092656;280;2012;Ficção Geral
Zumbis x Unicórnios;Holly Black;9788501095756;388;2012;Horror
Psycho Killer;Cecily von Ziegesar;9788501400017;322;2012;Ficção Geral
Resident Evil;John Shirley;9788501400857;304;2012;Ficção Geral
Segredos da Minha Vida em Hollywood: Princesa Paparazzi;Jen Calonita;9788501085047;336;2012;Suspense/Thriller
Artemis Fowl;Eoin Colfer;9788501095763;132;2012;Ficção Geral
Mentiras;Michael Grant;9788501086372;378;2012;Ficção Geral
As 17 cores do branco;Lauz Raul Machado;9788501094483;125;2012;Ficção Geral
Diablo III: A Ordem;Nate Kenyon;9788501401243;350;2012;Ficção Geral
Marés da Guerra;Christie Golden;9788501401250;350;2012;Ficção Histórica
Escolhas de Formatura;Diana Peterfreund;9788501098573;432;2012;Ficção Geral
O Livro Perigoso para Garotos (de bolso) vol. 1;Conn Iggulden;9788501091048;223;2012;Aventura
Renegado;Oliver Bowden;9788501401625;350;2012;Ficção Geral
Cinema Pirata;Cory Doctorow;9788501401137;432;2012;Ficção Geral
Amor Contra o Tempo;Myra McEntire;9788501096524;368;2012;Romance
O Acaçá de Cada Um;Celso Sisto;9788501098115;48;2012;Ficção Geral
Gregor e a Segunda Profecia;Suzanne Collins;9788501081872;287;2012;Ficção Geral
Diários de Stefan - Sede de sangue;L. J. Smith;9788501092632;176;2012;Ficção Geral
Mwindo;André Diniz;9788501094490;64;2012;Ficção Geral
Feios;Scott Westerfeld;9788501083708;416;2012;Ficção Geral
Cidade de Vidro;Cassandra Clare;9788501087164;476;2012;Ficção Geral
Sociedade Secreta: Escolhas de Formatura;Diana Peterfreund;9788501098573;432;2012;Ficção Geral
A História de Os Noivos;Umberto Eco;9788501097873;104;2012;Ficção Histórica
O Bebê Comprado do Bilionario;Sophia Lynn;nan;308;2012;Infantil
Cidade dos Ossos;Cassandra Clare;9788501087140;461;2012;Ficção Geral
Almas Sombrias;L. J. Smith;9788501091369;448;2011;Ficção Geral
A Rainha da Fofoca - Fisgada;Meg Cabot;9788501085382;448;2011;Ficção Geral
Assassin's Creed: Renascença;Oliver Bowden;9788501091338;378;2011;Ficção Geral
Tormenta;Lauren Kate;9788501089632;392;2011;Ficção Geral
Vampiro Secreto;L. J. Smith;9788501089120;224;2011;Horror
Emily, The Strange: Os Dias Perdidos;Rob Reger;9788501086778;278;2011;Ficção Geral
Fome;Michael Grant;9788501086365;532;2011;Ficção Geral
Quando Cai o Raio;Meg Cabot;9788501088178;272;2011;Ficção Geral
Hex Hall;Rachel Hawkins;9788501086075;303;2011;Ficção Geral
Os Radley;Matt Haig;9788501090263;432;2011;Ficção Geral
A Sociedade Secreta dos O.U.T.R.O.S.;Pedro Mañas;9788501089151;192;2011;Ficção Geral
Xeque-Mate;Malorie Blackman;9788501077103;496;2011;Ficção Geral
Amores Infernais;Scott Westerfeld;9788501090812;288;2011;Romance
Otolina na escola;Chris Riddell;9788501083647;175;2011;Ficção Geral
A Fera;Alex Flinn;9788501090218;320;2011;Ficção Geral
Paixão;Lauren Kate;9788501089649;378;2011;Romance
Liberte Meu Coração;Meg Cabot;9788501086686;404;2011;Romance
Eu Sempre Vou Te Amar;Cecily von Ziegesar;9788501089694;404;2011;Ficção Geral
Eon - O Décimo Segundo Dragão;Alison Goodman;9788501086716;474;2011;Fantasia
A Guerra da Pólvora Negra;Naomi Novik;9788501084552;336;2011;Ficção Histórica
Hamlet;William Shakespeare;9788501084125;216;2011;Ficção Geral
Romeu e Julieta;William Shakespeare;9788501084132;216;2011;Ficção Geral
A Profecia de Nostradamus;Theresa Breslin;9788501085009;406;2011;Ficção Geral
Eu Sou Um Gênio de Maldade Inenarrável e Quero Ser Seu Presidente de Turma;Josh Lieb;9788501085092;328;2011;Ficção Geral
Grana ou Drama;Grace Dent;9788501082664;240;2011;Ficção Geral
Rostinho Bonito;Mary Hogan;9788501086082;240;2011;Ficção Geral
Garota dos Sonhos;Lauren Mechling;9788501084040;400;2011;Ficção Geral
Diários de Stefan - Origens;L. J. Smith;9788501092625;192;2011;Ficção Geral
Glee - O Início;Sophia Lowell;9788501094414;224;2011;Ficção Geral
Gregor e a Profecia de Sangue;Suzanne Collins;9788501081889;336;2011;Ficção Geral
O Complexo de Atlântida;Eoin Colfer;9788501092786;381;2011;Ficção Geral
Pequeno Irmão;Cory Doctorow;9788501087218;416;2011;Infantil
A Iniciação;L. J. Smith;9788501095596;255;2011;Aventura
As Irmãs Sloane;Anna Carey;9788501086310;224;2011;Ficção Geral
99 filmes clássicos para apressadinhos;Henrik Lange;9788501089687;208;2011;Ficção Geral
Cowboys & Aliens;Fred Van Lente;9788501094247;100;2011;Ficção Científica
Cowboys & Aliens;Joan D. Vinge;9788501095664;368;2011;Ficção Científica
Uma Ilha no Oceano;Annika Thor;9788501082640;237;2011;Ficção Geral
Assinado, Mata Hari;Yannic Murphy;nan;319;2011;Ficção Geral
Sob a Luz da Lua;Andrea Cremer;9788501090478;462;2011;Ficção Geral
L.A. Candy;Lauren Conrad;9788501094070;316;2011;Ficção Geral
Melhores Amigas Para Sempre;Meg Cabot;9788501085054;176;2011;Ficção Geral
Chitty Chitty Bang Bang: o carro mágico;Ian Fleming;9788501082626;129;2011;Fantasia
Necropólis;Anthony Horowitz;9788501088352;383;2011;Ficção Geral
O Protocolo Soberano;Mark Walden;9788501084606;320;2011;Ficção Geral
A Mecânica do Coração;Mathias Malzieu;9788501087195;192;2011;Romance
12 de setembro;Jean-Christophe Ogier;9788501095350;208;2011;Ficção Geral
Com Louvor;Cecily von Ziegesar;9788501086334;320;2011;Ficção Geral
Era uma vez à meia-noite;Aguiar;9788501086822;224;2011;Ficção Geral
Cidade dos Anjos Caídos;Cassandra Clare;9788501092717;364;2011;Ficção Geral
Marcelo no Mundo Real;Francisco X. Stork;9788501088666;334;2011;Ficção Geral
O Verão Que Mudou Minha Vida;Jenny Han;9788501088628;288;2011;Ficção Geral
Footloose;Rudy Josephs;9788501096708;240;2011;Ficção Geral
Beijos Infernais (Kisses from hell);Kristin Cast;9788501095411;272;2011;Ficção Geral
Ricardo III;William Shakespeare;9788501086556;216;2011;Ficção Geral
Tollins 2 - Histórias que são pura dinamite;Conn Iggulden;9788501089298;192;2011;Ficção Histórica
Tollins 2 - Histórias que são pura dinamite;Conn Iggulden;9788501089298;192;2011;Ficção Histórica
O MISTÉRIO DO FEITICEIRO - SHERLOCK HOLMES E OS IRREGULARES DE BAKER STREET, VOL. 2;Tracy Mack;9788501089663;192;2011;Suspense/Thriller
Cidade de Vidro;Cassandra Clare;9788501087164;474;2011;Ficção Geral
Formaturas Infernais (Prom nights from hell);Meg Cabot;9788501085368;320;2010;Ficção Geral
Só Para Convidados;Kieran Scott;9788501085023;304;2010;Ficção Geral
A Fúria;L. J. Smith;9788501089366;240;2010;Ficção Geral
Reunião Sombria;L. J. Smith;9788501089816;256;2010;Ficção Geral
A modelo do ano;Carol Alt;9788501081834;304;2010;Ficção Geral
Tênis ou Tiaras;Grace Dent;9788501084569;240;2010;Ficção Geral
Ela Foi Até o Fim;Meg Cabot;9788501082671;399;2010;Ficção Geral
O vampiro não está tão afim de você;Vlad Mezrich;9788501088635;180;2010;Horror
Cupcake;Rachel Cohn;9788501079527;288;2010;Ficção Geral
Garota de Sorte;Cecily von Ziegesar;9788501086112;254;2010;Ficção Geral
Casaco Marrom;Giselle Nogueira;9788501083159;144;2010;Ficção Geral
O Diário da Princesa;Meg Cabot;9788501062901;284;2010;Ficção Geral
Princesa Sob os Refletores;Meg Cabot;9788501063403;251;2010;Ficção Geral
Dezesseis Luas;Kami Garcia;9788501086914;490;2010;Ficção Geral
TOM CORAÇÃO LEAL;Ian Beck;9788501083654;272;2010;Romance
Quem matou o livro policial?;Luiz Antonio Aguiar;9788501088758;160;2010;Suspense/Thriller
Barbara Debaixo Da Chuva;NILMA GONÇALVES LACERDA;9788501083494;112;2010;Ficção Geral
O Quilombo Orum Aiê;André Diniz;9788501088567;110;2010;Ficção Geral
Gone;Michael Grant;9788501086358;518;2010;Ficção Geral
Os Diários de Carrie;Candace Bushnell;9788501087171;400;2010;Ficção Geral
Academia de Princesas;Shannon Hale;9788501086549;272;2010;Ficção Geral
Louras Zumbis;Brian James;9788501085351;240;2010;Horror
Principe da Pérsia;Jordan Mechner;9788501086389;208;2010;Ficção Geral
A Águia da Nona;Rosemary Sutcliff;9788501083227;336;2010;Ficção Geral
Segredos da Minha Vida em Hollywood - Negócios de Família;Jen Calonita;9788501085030;352;2010;Suspense/Thriller
90 Livros Clássicos para Apressadinhos;Henrik Lange;9788501086952;192;2010;Ficção Geral
A Garota Nova;Meg Cabot;9788501085931;191;2010;Ficção Geral
Fallen;Lauren Kate;9788501089625;406;2010;Ficção Geral
Gregor e a Segunda Profecia;Suzanne Collins;9788501081872;288;2010;Ficção Geral
Anoitecer;L. J. Smith;9788501090676;444;2010;Ficção Geral
Dominando a Tempestade;Salamanda Drake;9788501083616;272;2010;Ficção Geral
Garota Quase 15 anos, Paquerando pela Inglaterra;Sue Limb;9788501086662;256;2010;Ficção Geral
Garota em Tentação;Cecily von Ziegesar;9788501086129;317;2010;Aventura
Kiki de Montparnasse;Catel & Bocquet;9788501085375;416;2010;Ficção Geral
Os Sem-Rosto;Derek Landy;9788501091062;350;2010;Ficção Geral
O Círculo de Ouro;Guillaume Prévost;9788501086693;384;2010;Ficção Geral
A Misteriosa Sociedade Benedict;Trenton Lee Stewart;9788501086099;392;2010;Ficção Geral
Coração Negro;Justin Somper;9788501083630;464;2010;Romance
Pérolas ou Pegas;Grace Dent;9788501082657;224;2010;Ficção Geral
Espiã Para Sempre;Ally Carter;9788501082725;256;2010;Ficção Geral
O Nome Deste Livro É Segredo;Pseudonymous Bosch;9788501086044;336;2010;Suspense/Thriller
A Casa dos Muitos Caminhos;Diana Wynne Jones;9788501086068;304;2010;Ficção Geral
Pânico na estrada;Eoin Colfer;9788501078742;96;2010;Ficção Geral
O Vingador;Andy McNab;9788501078445;336;2010;Ficção Geral
